"topicId","title","family","status","priority","difficulty","mediaType","canonicalPath","surfaceFit","reviewStatus","summary"
"pp-choosing-profile-and-strategy","Choosing Your Experience Level and Strategy","orientation","D","Now","Beginner","article","docs/knowledge/orientation/choosing-your-experience-level-and-strategy.md","","px-ki2-taxonomy-reconciled",""
"pp-what-dashboard-is-for","What Dashboard Is For","orientation","D","Now","Beginner","article","docs/knowledge/orientation/what-dashboard-is-for.md","","px-ki2-taxonomy-reconciled",""
"pp-what-pocketpilot-is","What PocketPilot Is","orientation","D","Now","Beginner","article","docs/knowledge/orientation/what-pocketpilot-is.md","","px-ki2-taxonomy-reconciled",""
"pp-what-snapshot-is-for","What Snapshot Is For","orientation","D","Now","Beginner","article","docs/knowledge/orientation/what-snapshot-is-for.md","","px-ki2-taxonomy-reconciled",""
"pp-what-the-knowledge-library-is-for","What the Knowledge Library Is For","orientation","D","Now","Beginner","article","docs/knowledge/orientation/what-the-knowledge-library-is-for.md","","px-ki2-taxonomy-reconciled",""
"pp-what-trade-hub-is-for","What Trade Hub Is For","orientation","D","Now","Beginner","article","docs/knowledge/orientation/what-trade-hub-is-for.md","","px-ki2-taxonomy-reconciled",""
"strategy-breakout-watcher","Breakout Watcher","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/breakout-watcher.md","","px-ki2-taxonomy-reconciled",""
"strategy-buy-the-dip","Buy the Dip","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/buy-the-dip.md","","px-ki2-taxonomy-reconciled",""
"strategy-candle-signals","Candle Signals","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/candle-signals.md","","Normalized draft v1","Candle Signals is a strategy built around the idea that individual candles and small candle formations can reveal short-term shifts in pressure, hesitation, rejection, or reversal. It is less about treating patterns as promises and more about reading them as compact clues about market behavior."
"strategy-confluence-alignment","Confluence Alignment","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/confluence-alignment.md","","px-ki2-taxonomy-reconciled",""
"strategy-fibonacci-zones","Fibonacci Zones","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/fibonacci-zones.md","","Normalized draft v1","Fibonacci Zones is a strategy built around the idea that markets often pause, react, or reverse around certain retracement and extension areas after a meaningful move. It is less about treating those zones like magical numbers and more about using them as structured reference points inside a broader market context."
"strategy-momentum-pulse","Momentum Pulse","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/momentum-pulse.md","","Normalized draft v1","Momentum Pulse is a strategy built around short-term bursts of accelerating price movement. It is less about following a long trend from afar and more about recognizing when a move is gaining speed fast enough to become temporarily meaningful."
"strategy-range-trader","Range Trader","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/range-trader.md","","px-ki2-taxonomy-reconciled",""
"strategy-reversion-bounce","Reversion Bounce","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/reversion-bounce.md","","px-ki2-taxonomy-reconciled",""
"strategy-trend-follow","Trend Follow","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/trend-follow.md","","px-ki2-taxonomy-reconciled",""
"glossary-30000-ft-view","30,000 ft View","glossary","D","Now","Beginner","article","docs/knowledge/glossary/30000-ft-view.md","","px-ki2-taxonomy-reconciled",""
"glossary-acceptance","acceptance","glossary","D","Now","Beginner","article","docs/knowledge/glossary/acceptance.md","","px-ki2-taxonomy-reconciled",""
"glossary-action-bias","action bias","glossary","D","Now","Beginner","article","docs/knowledge/glossary/action-bias.md","","px-ki2-taxonomy-reconciled",""
"glossary-breakout","breakout","glossary","D","Now","Beginner","article","docs/knowledge/glossary/breakout.md","","px-ki2-taxonomy-reconciled",""
"glossary-confirmation","confirmation","glossary","D","Now","Beginner","article","docs/knowledge/glossary/confirmation.md","","px-ki2-taxonomy-reconciled",""
"glossary-confirmed-confidence","confirmed confidence","glossary","D","Now","Beginner","article","docs/knowledge/glossary/confirmed-confidence.md","","px-ki2-taxonomy-reconciled",""
"glossary-confluence","confluence","glossary","D","Now","Beginner","article","docs/knowledge/glossary/confluence.md","","px-ki2-taxonomy-reconciled",""
"glossary-contagion","contagion","glossary","D","Now","Beginner","article","docs/knowledge/glossary/contagion.md","","px-ki2-taxonomy-reconciled",""
"glossary-conviction","conviction","glossary","D","Now","Beginner","article","docs/knowledge/glossary/conviction.md","","px-ki2-taxonomy-reconciled",""
"glossary-degraded-liquidity","degraded liquidity","glossary","D","Now","Beginner","article","docs/knowledge/glossary/degraded-liquidity.md","","px-ki2-taxonomy-reconciled",""
"glossary-deleveraging","deleveraging","glossary","D","Now","Beginner","article","docs/knowledge/glossary/deleveraging.md","","px-ki2-taxonomy-reconciled",""
"glossary-depeg","depeg","glossary","D","Now","Beginner","article","docs/knowledge/glossary/depeg.md","","px-ki2-taxonomy-reconciled",""
"glossary-dip","dip","glossary","D","Now","Beginner","article","docs/knowledge/glossary/dip.md","","px-ki2-taxonomy-reconciled",""
"glossary-estimated-confidence","estimated confidence","glossary","D","Now","Beginner","article","docs/knowledge/glossary/estimated-confidence.md","","px-ki2-taxonomy-reconciled",""
"glossary-execution-risk","execution risk","glossary","D","Now","Beginner","article","docs/knowledge/glossary/execution-risk.md","","px-ki2-taxonomy-reconciled",""
"glossary-exhaustion","exhaustion","glossary","D","Now","Beginner","article","docs/knowledge/glossary/exhaustion.md","","px-ki2-taxonomy-reconciled",""
"glossary-exposure","exposure","glossary","D","Now","Beginner","article","docs/knowledge/glossary/exposure.md","","px-ki2-taxonomy-reconciled",""
"glossary-false-breakout","false breakout","glossary","D","Now","Beginner","article","docs/knowledge/glossary/false-breakout.md","","px-ki2-taxonomy-reconciled",""
"glossary-holder-cost-basis","holder cost basis","glossary","D","Now","Beginner","article","docs/knowledge/glossary/holder-cost-basis.md","","px-ki2-taxonomy-reconciled",""
"glossary-invalid-setup","invalid setup","glossary","D","Now","Beginner","article","docs/knowledge/glossary/invalid-setup.md","","px-ki2-taxonomy-reconciled",""
"glossary-invalidation","invalidation","glossary","D","Now","Beginner","article","docs/knowledge/glossary/invalidation.md","","px-ki2-taxonomy-reconciled",""
"glossary-liquidity","liquidity","glossary","D","Now","Beginner","article","docs/knowledge/glossary/liquidity.md","","px-ki2-taxonomy-reconciled",""
"glossary-meaningful-change","meaningful change","glossary","D","Now","Beginner","article","docs/knowledge/glossary/meaningful-change.md","","px-ki2-taxonomy-reconciled",""
"glossary-noise","noise","glossary","D","Now","Beginner","article","docs/knowledge/glossary/noise.md","","px-ki2-taxonomy-reconciled",""
"glossary-overtrading","overtrading","glossary","D","Now","Beginner","article","docs/knowledge/glossary/overtrading.md","","px-ki2-taxonomy-reconciled",""
"glossary-peg","peg","glossary","D","Now","Beginner","article","docs/knowledge/glossary/peg.md","","px-ki2-taxonomy-reconciled",""
"glossary-range","range","glossary","D","Now","Beginner","article","docs/knowledge/glossary/range.md","","px-ki2-taxonomy-reconciled",""
"glossary-realized-price","realized price","glossary","D","Now","Beginner","article","docs/knowledge/glossary/realized-price.md","","px-ki2-taxonomy-reconciled",""
"glossary-recovery","recovery","glossary","D","Now","Beginner","article","docs/knowledge/glossary/recovery.md","","px-ki2-taxonomy-reconciled",""
"glossary-regime","regime","glossary","D","Now","Beginner","article","docs/knowledge/glossary/regime.md","","px-ki2-taxonomy-reconciled",""
"glossary-rejection","rejection","glossary","D","Now","Beginner","article","docs/knowledge/glossary/rejection.md","","px-ki2-taxonomy-reconciled",""
"glossary-relief-rally","relief rally","glossary","D","Now","Beginner","article","docs/knowledge/glossary/relief-rally.md","","px-ki2-taxonomy-reconciled",""
"glossary-reserve-backing","reserve backing","glossary","D","Now","Beginner","article","docs/knowledge/glossary/reserve-backing.md","","px-ki2-taxonomy-reconciled",""
"glossary-resistance","resistance","glossary","D","Now","Beginner","article","docs/knowledge/glossary/resistance.md","","px-ki2-taxonomy-reconciled",""
"glossary-reversal","reversal","glossary","D","Now","Beginner","article","docs/knowledge/glossary/reversal.md","","px-ki2-taxonomy-reconciled",""
"glossary-risk-stacking","risk stacking","glossary","D","Now","Beginner","article","docs/knowledge/glossary/risk-stacking.md","","px-ki2-taxonomy-reconciled",""
"glossary-setup-quality","setup quality","glossary","D","Now","Beginner","article","docs/knowledge/glossary/setup-quality.md","","px-ki2-taxonomy-reconciled",""
"glossary-signal-quality","signal quality","glossary","D","Now","Beginner","article","docs/knowledge/glossary/signal-quality.md","","px-ki2-taxonomy-reconciled",""
"glossary-slippage","slippage","glossary","D","Now","Beginner","article","docs/knowledge/glossary/slippage.md","","px-ki2-taxonomy-reconciled",""
"glossary-strategy-fit","strategy fit","glossary","D","Now","Beginner","article","docs/knowledge/glossary/strategy-fit.md","","px-ki2-taxonomy-reconciled",""
"glossary-structural-impairment","structural impairment","glossary","D","Now","Beginner","article","docs/knowledge/glossary/structural-impairment.md","","px-ki2-taxonomy-reconciled",""
"glossary-support","support","glossary","D","Now","Beginner","article","docs/knowledge/glossary/support.md","","px-ki2-taxonomy-reconciled",""
"glossary-thin-market","thin market","glossary","D","Now","Beginner","article","docs/knowledge/glossary/thin-market.md","","px-ki2-taxonomy-reconciled",""
"glossary-volatility","volatility","glossary","D","Now","Beginner","article","docs/knowledge/glossary/volatility.md","","px-ki2-taxonomy-reconciled",""
"interpretation-bounce-vs-recovery-vs-reversal","Bounce vs Recovery vs Reversal","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/bounce-vs-recovery-vs-reversal.md","","px-ki2-taxonomy-reconciled",""
"interpretation-confirmation-vs-invalidation","Confirmation vs Invalidation","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/confirmation-vs-invalidation.md","","px-ki2-taxonomy-reconciled",""
"interpretation-confluence-vs-clutter","Confluence vs Clutter","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/confluence-vs-clutter.md","","px-ki2-taxonomy-reconciled",""
"interpretation-estimated-vs-confirmed-confidence","Estimated vs Confirmed Confidence","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/estimated-vs-confirmed-confidence.md","","px-ki2-taxonomy-reconciled",""
"interpretation-how-pocketpilot-reads-change","How PocketPilot Reads Change","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/how-pocketpilot-reads-change.md","","px-ki2-taxonomy-reconciled",""
"interpretation-support-resistance-and-structure","Support, Resistance, and Structure","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/support-resistance-and-structure.md","","px-ki2-taxonomy-reconciled",""
"interpretation-what-regime-means","What Regime Means","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/what-regime-means.md","","px-ki2-taxonomy-reconciled",""
"interpretation-what-volatility-means","What Volatility Means","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/what-volatility-means.md","","px-ki2-taxonomy-reconciled",""
"interpretation-when-execution-risk-changes-the-read","When Execution Risk Changes the Read","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/when-execution-risk-changes-the-read.md","","px-ki2-taxonomy-reconciled",""
"interpretation-why-meaningful-change-matters","Why Meaningful Change Matters","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/why-meaningful-change-matters.md","","px-ki2-taxonomy-reconciled",""
"interpretation-why-strategy-fit-matters","Why Strategy Fit Matters","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/why-strategy-fit-matters.md","","px-ki2-taxonomy-reconciled",""
"interpretation-why-the-30000-ft-view-matters","Why the 30,000 ft View Matters","interpretation","D","Now","Beginner","article","docs/knowledge/interpretation/why-the-30000-ft-view-matters.md","","px-ki2-taxonomy-reconciled",""
"market-examples-bitcoin-above-the-old-high","Bitcoin Above the Old High","market-examples","D","Now","Intermediate","article","docs/knowledge/market-examples/bitcoin-above-the-old-high.md","","px-ki2-taxonomy-reconciled",""
"market-examples-bitcoin-june-to-august-2022-relief-rally-inside-a-broken-structure","Bitcoin June to August 2022: Relief Rally Inside a Broken Structure","market-examples","D","Now","Intermediate","article","docs/knowledge/market-examples/bitcoin-june-to-august-2022-relief-rally-inside-a-broken-structure.md","","px-ki2-taxonomy-reconciled",""
"market-examples-bitcoin-19k-20k-bottoming-cluster-and-the-post-ftx-reclaim","Bitcoinâ€™s $19kâ€“$20k Bottoming Cluster and the Post-FTX Reclaim","market-examples","D","Now","Intermediate","article","docs/knowledge/market-examples/bitcoin-19k-20k-bottoming-cluster-and-the-post-ftx-reclaim.md","","px-ki2-taxonomy-reconciled",""
"market-examples-bitcoin-august-2020-failed-escape-above-12000","Bitcoinâ€™s August 2020 Failed Escape Above $12,000","market-examples","D","Now","Intermediate","article","docs/knowledge/market-examples/bitcoin-august-2020-failed-escape-above-12000.md","","px-ki2-taxonomy-reconciled",""
"market-examples-from-liquidity-tailwind-to-deleveraging-grind","From Liquidity Tailwind to Deleveraging Grind","market-examples","D","Now","Intermediate","article","docs/knowledge/market-examples/from-liquidity-tailwind-to-deleveraging-grind.md","","px-ki2-taxonomy-reconciled",""
"market-examples-terra-from-peg-wobble-to-exit-spiral","Terra: From Peg Wobble to Exit Spiral","market-examples","D","Now","Intermediate","article","docs/knowledge/market-examples/terra-from-peg-wobble-to-exit-spiral.md","","px-ki2-taxonomy-reconciled",""
"action-risk-urgency-theatre-vs-real-signal","Urgency Theatre vs Real Signal","action-risk","D","Now","Beginner","article","docs/knowledge/action-risk/urgency-theatre-vs-real-signal.md","","px-ki2-taxonomy-reconciled",""
"action-risk-what-risk-means-inside-pocketpilot","What Risk Means Inside PocketPilot","action-risk","D","Now","Beginner","article","docs/knowledge/action-risk/what-risk-means-inside-pocketpilot.md","","px-ki2-taxonomy-reconciled",""
"action-risk-when-a-bounce-is-not-a-green-light","When a Bounce Is Not a Green Light","action-risk","D","Now","Beginner","article","docs/knowledge/action-risk/when-a-bounce-is-not-a-green-light.md","","px-ki2-taxonomy-reconciled",""
"action-risk-when-less-is-the-strategy","When Less Is the Strategy","action-risk","D","Now","Beginner","article","docs/knowledge/action-risk/when-less-is-the-strategy.md","","px-ki2-taxonomy-reconciled",""
"action-risk-when-not-to-force-action","When Not to Force Action","action-risk","D","Now","Beginner","article","docs/knowledge/action-risk/when-not-to-force-action.md","","px-ki2-taxonomy-reconciled",""
"action-risk-why-execution-risk-matters","Why Execution Risk Matters","action-risk","D","Now","Beginner","article","docs/knowledge/action-risk/why-execution-risk-matters.md","","px-ki2-taxonomy-reconciled",""
"evidence-breakout-watcher-bitcoin-august-2020-failed-escape-caution","Breakout Watcher Caution Example: Bitcoinâ€™s August 2020 Failed Escape Above $12,000","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/breakout-watcher-bitcoin-august-2020-failed-escape-caution.md","","px-ki2-taxonomy-reconciled",""
"evidence-breakout-watcher-bitcoin-above-the-old-high-worked","Breakout Watcher Worked Example: Bitcoin Above the Old High","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/breakout-watcher-bitcoin-above-the-old-high-worked.md","","px-ki2-taxonomy-reconciled",""
"evidence-buy-the-dip-bitcoin-june-to-august-2022-caution","Buy the Dip Caution Example: Bitcoin June to August 2022 Relief Rally","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/buy-the-dip-bitcoin-june-to-august-2022-caution.md","","px-ki2-taxonomy-reconciled",""
"evidence-buy-the-dip-bitcoin-above-the-old-high-worked","Buy the Dip Worked Example: Bitcoin Above the Old High","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/buy-the-dip-bitcoin-above-the-old-high-worked.md","","px-ki2-taxonomy-reconciled",""
"evidence-confluence-alignment-terra-exit-spiral-caution","Confluence Alignment Caution Example: Terra From Peg Wobble to Exit Spiral","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/confluence-alignment-terra-exit-spiral-caution.md","","px-ki2-taxonomy-reconciled",""
"evidence-confluence-alignment-bitcoin-19k-20k-post-ftx-reclaim-worked","Confluence Alignment Worked Example: Bitcoinâ€™s $19kâ€“$20k Bottoming Cluster and the Post-FTX Reclaim","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/confluence-alignment-bitcoin-19k-20k-post-ftx-reclaim-worked.md","","px-ki2-taxonomy-reconciled",""
"evidence-momentum-pulse-bitcoin-june-to-august-2022-caution","Momentum Pulse Caution Example: Bitcoin June to August 2022 Relief Rally","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/momentum-pulse-bitcoin-june-to-august-2022-caution.md","","px-ki2-taxonomy-reconciled",""
"evidence-momentum-pulse-bitcoin-above-the-old-high-worked","Momentum Pulse Worked Example: Bitcoin Above the Old High","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/momentum-pulse-bitcoin-above-the-old-high-worked.md","","px-ki2-taxonomy-reconciled",""
"evidence-range-trader-bitcoin-august-2020-failed-escape-caution","Range Trader Caution Example: Bitcoinâ€™s August 2020 Failed Escape Above $12,000","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/range-trader-bitcoin-august-2020-failed-escape-caution.md","","px-ki2-taxonomy-reconciled",""
"evidence-reversion-bounce-bitcoin-june-to-august-2022-caution","Reversion Bounce Caution Example: Bitcoin June to August 2022 Relief Rally","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/reversion-bounce-bitcoin-june-to-august-2022-caution.md","","px-ki2-taxonomy-reconciled",""
"evidence-trend-follow-from-liquidity-tailwind-to-deleveraging-grind-caution","Trend Follow Caution Example: From Liquidity Tailwind to Deleveraging Grind","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/trend-follow-from-liquidity-tailwind-to-deleveraging-grind-caution.md","","px-ki2-taxonomy-reconciled",""
"evidence-trend-follow-bitcoin-above-the-old-high-worked","Trend Follow Worked Example: Bitcoin Above the Old High","evidence","D","Next","Intermediate","article","docs/knowledge/evidence/trend-follow-bitcoin-above-the-old-high-worked.md","","px-ki2-taxonomy-reconciled",""
"pp-what-event-ledger-is-for","What Event Ledger Is For","reflection","D","Now","Beginner","article","docs/knowledge/40-reflection/what-event-ledger-is-for.md","Lib, Insights","normalized-draft-v1",""
"pp-what-insights-is-for","What Insights Is For","reflection","D","Now","Beginner","article","docs/knowledge/40-reflection/what-insights-is-for.md","Lib, Insights","normalized-draft-v1",""
"pp-what-log-and-journal-are-for","What Log and Journal Are For","reflection","D","Later","Beginner","article","docs/knowledge/40-reflection/what-log-and-journal-are-for.md","Lib, Insights","normalized-draft-v1",""
"pp-what-monthly-and-quarterly-summaries-are-for","What Monthly and Quarterly Summaries Are For","reflection","D","Next","Beginner","article","docs/knowledge/40-reflection/what-monthly-and-quarterly-summaries-are-for.md","Lib, Insights","normalized-draft-v1",""
"pp-what-reorientation-is-for","What Reorientation Is For","reflection","D","Now","Beginner","article","docs/knowledge/40-reflection/what-reorientation-is-for.md","Lib, Insights","normalized-draft-v1",""
"pp-what-since-last-checked-is-for","What Since Last Checked Is For","reflection","D","Now","Beginner","article","docs/knowledge/40-reflection/what-since-last-checked-is-for.md","Lib, Snap, Insights","normalized-draft-v1",""
"pp-what-summary-archive-is-for","What Summary Archive Is For","reflection","D","Next","Beginner","article","docs/knowledge/40-reflection/what-summary-archive-is-for.md","Lib, Insights","normalized-draft-v1",""
"pp-what-year-in-review-is-for","What Year in Review Is For","reflection","D","Next","Beginner","article","docs/knowledge/40-reflection/what-year-in-review-is-for.md","Lib, Insights","normalized-draft-v1",""
"pp-what-knowledge-links-are-for","What Knowledge Links Are For","knowledge-system","D","Next","Beginner","article","docs/knowledge/50-knowledge-system/what-knowledge-links-are-for.md","Lib, Dash, Trade","normalized-draft-v1",""
